cause,race,county,value,samples,upper
_all,2,303,0.5054562697843626,1,57.02474477125555
_comm,2,303,0.010935830695298665,1,57.02474477125555
_inj,2,303,0.01671173506726608,1,57.02474477125555
_ncd,2,303,0.36182015266410245,1,57.02474477125555
_all,4,303,7.050772658846653,1,379.5095083052525
_comm,4,303,0.16333234004272498,1,379.5095083052525
_inj,4,303,0.08778627789659581,1,379.5095083052525
_ncd,4,303,6.86028401390489,1,379.5095083052525
_all,5,303,56.102477951741385,1,5235.461481154066
_comm,5,303,1.139316956032392,1,5235.461481154066
_inj,5,303,1.3124604779930142,1,5235.461481154066
_ncd,5,303,54.224308661986264,1,5235.461481154066
_all,6,303,0.45194618709110485,1,22.613260857566857
_comm,6,303,0.009008110291191897,1,22.613260857566857
_inj,6,303,0.006603881344101209,1,22.613260857566857
_ncd,6,303,0.3932308386701188,1,22.613260857566857
_all,7,303,0.20938208398671157,1,39.32741018707279
_comm,7,303,0.006062779065810933,1,39.32741018707279
_inj,7,303,0.014137898686786289,1,39.32741018707279
_ncd,7,303,0.2559829781570794,1,39.32741018707279
_all,1,301,46.55072198359579,2,3137.344147673732
_comm,1,301,0.9187861717402049,2,3137.344147673732
_inj,1,301,1.0313120719247137,2,3137.344147673732
_ncd,1,301,45.03440929415929,2,3137.344147673732
_all,2,301,0.6368399913164995,2,65.87341206334693
_comm,2,301,0.011161345386830931,2,65.87341206334693
_inj,2,301,0.01984710072453062,2,65.87341206334693
_ncd,2,301,0.5949604756273378,2,65.87341206334693
_all,4,301,8.676132205061764,2,537.8023343082205
_comm,4,301,0.2123424038203521,2,537.8023343082205
_inj,4,301,0.1428091730846772,2,537.8023343082205
_ncd,4,301,8.57917717198789,2,537.8023343082205
_all,5,301,35.44885836672363,2,2428.467579051745
_comm,5,301,0.778636792113834,2,2428.467579051745
_inj,5,301,0.9303498030133661,2,2428.467579051745
_ncd,5,301,34.96946408562753,2,2428.467579051745
_all,6,301,0.48637118585337025,2,19.6637050935364
_comm,6,301,0.0108426389093462,2,19.6637050935364
_inj,6,301,0.01020711257101641,2,19.6637050935364
_ncd,6,301,0.3926403406160236,2,19.6637050935364
_all,7,301,0.7741558679152657,2,85.53711715688333
_comm,7,301,0.015162446234453212,2,85.53711715688333
_inj,7,301,0.03075772249072381,2,85.53711715688333
_ncd,7,301,0.6349916233303359,2,85.53711715688333
_all,1,302,119.68464833864398,2,9087.581308977846
_comm,1,302,2.6846082298906757,2,9087.581308977846
_inj,1,302,2.9332504636883514,2,9087.581308977846
_ncd,1,302,113.1525559868254,2,9087.581308977846
_all,2,302,2.086341783342535,2,224.1662380663149
_comm,2,302,0.05050711607117342,2,224.1662380663149
_inj,2,302,0.05620309429320669,2,224.1662380663149
_ncd,2,302,2.050431718460344,2,224.1662380663149
_all,4,302,28.840479636577054,2,1669.44856244124
_comm,4,302,0.8747447513584871,2,1669.44856244124
_inj,4,302,0.4896370964531096,2,1669.44856244124
_ncd,4,302,26.502394003486895,2,1669.44856244124
_all,5,302,89.70137595101933,2,6894.095005793861
_comm,5,302,1.8403505646477416,2,6894.095005793861
_inj,5,302,2.4709551299746733,2,6894.095005793861
_ncd,5,302,85.66992479030502,2,6894.095005793861
_all,6,302,0.1160846859247676,2,9.831852546768198
_comm,6,302,0.0032558743434661797,2,9.831852546768198
_inj,6,302,0.0046471681487564405,2,9.831852546768198
_ncd,6,302,0.16213683917983257,2,9.831852546768198
_all,7,302,1.760082759907217,2,290.0396501296618
_comm,7,302,0.041190568471194566,2,290.0396501296618
_inj,7,302,0.10080391625431365,2,290.0396501296618
_ncd,7,302,1.447242901129066,2,290.0396501296618
_all,1,303,63.22082722137516,2,5733.9364052752135
_comm,1,303,1.3254881646488594,2,5733.9364052752135
_inj,1,303,1.3316261154431797,2,5733.9364052752135
